language,glottocode,family,area,latitude,longitude,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,52A Comitatives and Instrumentals,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,37A Definite Articles,38A Indefinite Articles,101A Expression of Pronominal Subjects,46A Indefinite Pronouns,43A Third Person Pronouns and Demonstratives,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,47A Intensifiers and Reflexive Pronouns,44A Gender Distinctions in Independent Personal Pronouns,32A Systems of Gender Assignment,32A Systems of Gender Assignment,112A Negative Morphemes,33A Coding of Nominal Plurality,53A Ordinal Numerals,54A Distributive Numerals,87A Order of Adjective and Noun,85A Order of Adposition and Noun Phrase,91A Order of Degree Word and Adjective,88A Order of Demonstrative and Noun,86A Order of Genitive and Noun,143A Order of Negative Morpheme and Verb,89A Order of Numeral and Noun,"84A Order of Object, Oblique, and Verb",90A Order of Relative Clause and Noun,107A Passive Constructions,106A Reciprocal Constructions,73A The Optative,71A The Prohibitive,70A The Morphological Imperative,48A Person Marking on Adpositions,93A Position of Interrogative Phrases in Content Questions,92A Position of Polar Question Particles,59A Possessive Classification,57A Position of Pronominal Possessive Affixes,24A Locus of Marking in Possessive Noun Phrases,27A Reduplication,67A The Future Tense,66A The Past Tense,65A Perfective/Imperfective Aspect,102A Verbal Person Marking,"81A Order of Subject, Object and Verb"
Iraqw,iraq1241,Southern Cushitic,world,-4,35.5,Nominative - accusative (standard),Neutral,Mixed,,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Generic-noun-based,Unrelated,Four-way contrast,Different stem,,1st or 2nd person but not 3rd,Semantic and formal,Two,Negative affix,Plural suffix,"First, two, three",Marked by reduplication,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,[V-Neg],Noun-Numeral,No dominant order,Noun-Relative clause,Present,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,,Possessive suffixes,,,,,,Only the A argument,SOV
Irish,iris1253,Italic-Celtic,world,53,-8,Neutral,Nominative - accusative (standard),Identity,And different from 'with',,Definite word distinct from demonstrative,"No indefinite, but definite article",Mixed,Generic-noun-based,Related to remote demonstratives,Three-way contrast,Identical,Identical,3rd person singular only,,,Negative particle,Mixed morphological plural,"First, second, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,VOX,Noun-Relative clause,Present,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,,No possessive affixes,,No productive reduplication,,,,Only the A argument,VSO
Japanese,nucl1643,Japonic,world,37,140,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,"No definite, but indefinite article",Indefinite word distinct from 'one',Optional pronouns in subject position,Interrogative-based,Unrelated,Three-way contrast,Different inflection,Identical,"3rd person only, but also non-singular",,,Negative affix,Plural suffix,"One-th, two-th, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,XOV,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second person number-neutral,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,Full reduplication only,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,No person marking,SOV
Kannada,nucl1305,South Dravidian,world,14,76,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,,Indefinite word same as 'one',Subject affixes on verb,Interrogative-based,Related to remote demonstratives,Two-way contrast,Different inflection,Identical,"3rd person only, but also non-singular",Semantic,Three,Negative affix,Plural suffix,"First/one-th, two-th, three-th",Marked by reduplication,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,,Mixed,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Final,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SOV
Kayardild,kaya1319,Southern Tangkic,world,-17.05,139.5,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,,,Definite word distinct from demonstrative,Indefinite word same as 'one',Optional pronouns in subject position,Interrogative-based,Related for non-human reference,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative affix,No plural,None,Marked by mixed or other strategies,Adjective-Noun,No adpositions,,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,No dominant order,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second person number-neutral,No adpositions,Not initial interrogative phrase,No question particle,Two classes,,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,No person marking,No dominant order
Ket,kett1243,Yeniseian,world,64,87,Neutral,Neutral,Identity,And different from 'with',Identity,No definite or indefinite article,No definite or indefinite article,,Interrogative-based,,Three-way contrast,Different inflection,Differentiated,No gender distinctions,Semantic,Three,,Plural suffix,"First/one-th, two-th, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,,Present,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,Pronouns and nouns,Not initial interrogative phrase,,No possessive classification,Possessive prefixes,Head marking,,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SOV
Kiowa,kiow1266,Kiowa,world,37,-99,Neutral,,,And different from 'with',,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogative-based,,Two-way contrast,Identical,Differentiated,No gender distinctions,,,Double negation,Plural suffix,,,,No adpositions,,Demonstrative-Noun,Genitive-Noun,ObligDoubleNeg,Numeral-Noun,,Internally headed,Absent,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No adpositions,Initial interrogative phrase,Initial,Two classes,Possessive prefixes,Head marking,No productive reduplication,Inflectional future exists,No past tense,Grammatical marking,A or P argument,SOV
Koasati,koas1236,Muskogean,world,34.83333333,-85.16666667,Nominative - accusative (standard),,Differentiation,,Differentiation,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogative-based,Unrelated,Five (or more)-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative affix,Plural clitic,"First, two-th, three-th",,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,[V-Neg],Noun-Numeral,OVX,Mixed,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,,,Two classes,Possessive prefixes,Head marking,Productive full and partial reduplication,Inflectional future exists,"Present, 2-3 remoteness distinctions",No grammatical marking,Both the A and P arguments,SOV
Kobon,kobo1249,Kalamic-South Adelbert,world,-5.166666667,144.3333333,Neutral,Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,"No definite, but indefinite article",Indefinite word distinct from 'one',Subject affixes on verb,Generic-noun-based,Unrelated,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,None,,Noun-Adjective,Postpositions,Adjective-Degree word,Noun-Demonstrative,Genitive-Noun,[V-Neg],Noun-Numeral,,Mixed,Absent,,Inflectional optative absent,Normal imperative + normal negative,Second singular and second plural,No person marking,Not initial interrogative phrase,Final,Two classes,Possessive prefixes,No marking,,,,,Only the A argument,SOV
Korean,kore1280,Koreanic,world,37.5,128,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogative-based,Unrelated,Three-way contrast,Different stem,Identical,3rd person singular only,,,Negative particle,Plural suffix,"One-th, two-th, three-th",Marked by suffix,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,Second person number-neutral,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,,Dependent marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,No person marking,SOV
Koyraboro Senni Songhai,koyr1242,Songhay,world,16,0,Neutral,Neutral,,,Differentiation,Definite word distinct from demonstrative,"No indefinite, but definite article",Obligatory pronouns in subject position,Generic-noun-based,Unrelated,No distance contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,"First/one-th, two-th, three-th",,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,NegV,Noun-Numeral,OVX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,In either of two positions,,No possessive affixes,,,No inflectional future,No past tense,Grammatical marking,No person marking,SOV
Krongo,kron1241,Kadugli-Krongo,world,10.5,30,Neutral,Neutral,Differentiation,,Differentiation,No definite or indefinite article,No definite or indefinite article,Mixed,,,Three-way contrast,Identical,,3rd person singular only,,,Double negation,Plural prefix,"One, two, three",,Noun-Adjective,,No dominant order,Noun-Demonstrative,Noun-Genitive,ObligDoubleNeg,Noun-Numeral,VOX,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,No question particle,Two classes,No possessive affixes,Dependent marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VSO
Kutenai,kute1249,Kutenai,world,49.5,-116,Neutral,Neutral,,,Identity,Definite word distinct from demonstrative,"No indefinite, but definite article",Subject pronouns in different position,Interrogative-based,,Three-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural prefix,,No distributive numerals,Only internally-headed relative clauses,No adpositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,,Internally headed,Present,Distinct from reflexive,Inflectional optative absent,,Second singular and second plural,No adpositions,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,No dominant order
Lakota,lako1247,Siouan,world,43.83333333,-101.8333333,Neutral,,Differentiation,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Subject affixes on verb,Interrogative-based,Unrelated,Three-way contrast,Identical,Differentiated,No gender distinctions,,,Negative particle,Plural word,"First, two-th, three-th",,Noun-Adjective,Postpositions,Degree word-Adjective,Mixed,No dominant order,VNeg,Noun-Numeral,,Internally headed,Absent,Distinct from reflexive,Inflectional optative absent,Normal imperative + normal negative,No second-person imperatives,Pronouns only,Not initial interrogative phrase,Final,Two classes,Possessive prefixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Both the A and P arguments,SOV
Lango (Uganda),lang1324,Western Nilotic,world,2.166666667,33,Neutral,Neutral,Mixed,,Differentiation,"No definite, but indefinite article",Indefinite affix,Subject affixes on verb,Generic-noun-based,Unrelated,Three-way contrast,Different stem,Identical,No gender distinctions,No gender,None,Negative particle,Plural suffix,"First, two, three",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,NegV,Noun-Numeral,VOX,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,No question particle,Two classes,,Head marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO
Latvian,latv1249,Balto-Slavic,world,57,24,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,Demonstrative word used as definite article,Indefinite word same as 'one',Obligatory pronouns in subject position,Interrogative-based,Related by gender markers,Two-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Two,Negative affix,Plural suffix,"First, second, three-th",Marked by preceding word,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[Neg-V],Numeral-Noun,,Noun-Relative clause,Present,,Inflectional optative absent,Normal imperative + normal negative,Second plural,No person marking,Initial interrogative phrase,Initial,,No possessive affixes,,,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SVO
Lavukaleve,lavu1241,Lavukaleve,world,-9.083333333,159.2,Neutral,Neutral,,,Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Subject affixes on verb,Generic-noun-based,Related for all demonstratives,Three-way contrast,Different stem,Identical,"3rd person only, but also non-singular",Semantic and formal,Three,Variation between negative word and affix,Plural suffix,,,Noun-Adjective,Postpositions,,,Genitive-Noun,Type 2 / Type 4,Noun-Numeral,XOV,Internally headed,Absent,,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns and nouns,Not initial interrogative phrase,Final,No possessive classification,Possessive prefixes,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV
Lezgian,lezg1247,Daghestanian,world,41.66666667,47.83333333,Ergative - absolutive,Ergative - absolutive,Differentiation,And different from 'with',Identity,"No definite, but indefinite article",Indefinite word same as 'one',Optional pronouns in subject position,Interrogative-based,Related to non-remote demonstratives,Three-way contrast,Different inflection,Identical,No gender distinctions,No gender,None,Negative affix,Plural suffix,"One-th, two-th, three-th",Marked by reduplication,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,,Relative clause-Noun,Absent,,Inflectional optative present,Special imperative + special negative,Second person number-neutral,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,No productive reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,No person marking,SOV
Luvale,luva1239,Bantoid,world,-12,22,Neutral,Neutral,,,Differentiation,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,,,Differentiated,"3rd person only, but also non-singular",Semantic and formal,Five or more,Double negation,Plural prefix,"First, two-th, three-th",,Noun-Adjective,Prepositions,,Noun-Demonstrative,Noun-Genitive,ObligDoubleNeg,Noun-Numeral,VOX,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,,Two classes,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, 2-3 remoteness distinctions",No grammatical marking,Both the A and P arguments,SVO
Mangarrayi,mang1381,Mangarrayi-Maran,world,-14.66666667,133.5,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,Definite word distinct from demonstrative,,Subject affixes on verb,Interrogative-based,Related for all demonstratives,,,,No gender distinctions,Semantic,Three,Negative particle,Plural suffix,None,,Noun-Adjective,Prepositions,,Demonstrative-Noun,No dominant order,NegV,No dominant order,,Noun-Relative clause,Absent,Identical to reflexive,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No adpositions,Not initial interrogative phrase,Final,Two classes,Possessive suffixes,Double marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,OVS
Manipuri,mani1292,Sino-Tibetan,world,24.75,94,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Differentiation,Demonstrative word used as definite article,Indefinite word same as 'one',Optional pronouns in subject position,Interrogative-based,Related for all demonstratives,Two-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative affix,,"First/one-th, two-th, three-th",Marked by reduplication,No dominant order,Postpositions,,Noun-Demonstrative,Genitive-Noun,[V-Neg],Noun-Numeral,,Relative clause-Noun,Absent,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second person number-neutral,No person marking,Not initial interrogative phrase,Final,No possessive classification,Possessive prefixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,No person marking,
Maori,maor1246,Malayo-Polynesian,world,-40,176,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And identical to 'with',Differentiation,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Optional pronouns in subject position,Mixed,Related to remote demonstratives,Three-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,"Negative word, unclear if verb or particle",Plural word,"One-th, two-th, three-th",Marked by prefix,Noun-Adjective,Prepositions,Adjective-Degree word,Mixed,Noun-Genitive,NegV,Noun-Numeral,VOX,Noun-Relative clause,Present,,Inflectional optative absent,Special imperative + special negative,No second-person imperatives,No person marking,Not initial interrogative phrase,No question particle,No possessive classification,No possessive affixes,Dependent marking,Productive full and partial reduplication,No inflectional future,"Present, no remoteness distinctions",No grammatical marking,No person marking,VSO
Mapudungun,mapu1245,Araucanian,world,-38,-72,Neutral,Neutral,Differentiation,And different from 'with',Identity,Definite word distinct from demonstrative,"No indefinite, but definite article",Subject affixes on verb,,Related to non-remote demonstratives,Three-way contrast,Different stem,Differentiated,No gender distinctions,No gender,None,Negative affix,Plural word,"First/one-th, two-th, three-th",,Adjective-Noun,No dominant order,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,[V-Neg],Numeral-Noun,No dominant order,,Present,Identical to reflexive,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Not initial interrogative phrase,,No possessive classification,No possessive affixes,Head marking,,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO
Maricopa,mari1440,Cochimi-Yuman,world,33.16666667,-113.1666667,Nominative - accusative (marked nominative),Nominative - accusative (marked nominative),,,Differentiation,Definite word distinct from demonstrative,"No indefinite, but definite article",Subject affixes on verb,Interrogative-based,Related for all demonstratives,Five (or more)-way contrast,Identical,Identical,No gender distinctions,No gender,None,Double negation,Plural stem change,,Marked by suffix,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,ObligDoubleNeg,Noun-Numeral,,Mixed,Present,Identical to reflexive,Inflectional optative present,Normal imperative + normal negative,Second singular and second plural,No adpositions,,No question particle,Three to five classes,Possessive prefixes,Head marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SOV
Martuthunira,mart1255,Southwestern Pama-Nyungan,world,-20.83333333,116.5,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,,,,,Optional pronouns in subject position,Interrogative-based,Unrelated,Two-way contrast,Identical,,No gender distinctions,No gender,None,Negative particle,Plural suffix,None,No distributive numerals,Noun-Adjective,No adpositions,,Demonstrative-Noun,No dominant order,NegV,Numeral-Noun,VOX,Adjoined,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + normal negative,Second person number-neutral,No adpositions,Initial interrogative phrase,No question particle,Two classes,Possessive suffixes,Dependent marking,Full reduplication only,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,No person marking,SVO
Mawng,maun1240,Iwaidjan Proper,world,-11.91666667,133.5,Neutral,Neutral,,,,,,Subject affixes on verb,,Related by gender markers,Three-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic,Five or more,Negative particle,Plural word,,,Adjective-Noun,Prepositions,Adjective-Degree word,Demonstrative-Noun,Genitive-Noun,NegV,Numeral-Noun,VOX,Noun-Relative clause,Absent,Identical to reflexive,,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,Initial,Two classes,Possessive prefixes,No marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,SVO
Maybrat-Karon,maib1239,South Bird<e2>s Head,world,-1.333333333,132.5,Neutral,Neutral,,,Identity,Definite word distinct from demonstrative,"No indefinite, but definite article",Optional pronouns in subject position,Generic-noun-based,Related by gender markers,Three-way contrast,Identical,,3rd person singular only,Semantic,Two,Negative particle,No plural,"First/one-th, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,Adjective-Degree word,Noun-Demonstrative,No dominant order,VNeg,Noun-Numeral,VOX,Noun-Relative clause,Absent,No reciprocals,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,Pronouns and nouns,Not initial interrogative phrase,Final,Two classes,Possessive prefixes,Dependent marking,Productive full and partial reduplication,No inflectional future,No past tense,No grammatical marking,Only the A argument,SVO
Modern Greek,mode1248,Greek-Armenian,world,39,22,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,Definite word distinct from demonstrative,Indefinite word same as 'one',Subject affixes on verb,Interrogative-based,,Three-way contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Three,Negative particle,Plural suffix,"First, second, three-th",Marked by preceding word,Adjective-Noun,Prepositions,Degree word-Adjective,Demonstrative-Noun,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,Initial,No possessive classification,No possessive affixes,Double marking,No productive reduplication,No inflectional future,"Present, no remoteness distinctions",Grammatical marking,Both the A and P arguments,No dominant order
Modern Hebrew,hebr1245,West Semitic,world,31.5,34.83333333,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,Definite affix,Indefinite word same as 'one',Mixed,Interrogative-based,Related for all demonstratives,Two-way contrast,Identical,Identical,In 3rd person + 1st and/or 2nd person,Semantic and formal,Two,Negative particle,Plural suffix,"First, two-th, three-th",No distributive numerals,Noun-Adjective,Prepositions,No dominant order,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,Mixed,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Initial interrogative phrase,Initial,No possessive classification,Possessive suffixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SVO
Nama (Namibia),nama1264,Khoekhoe,world,-25.5,18,Nominative - accusative (standard),Nominative - accusative (standard),Identity,And different from 'with',Identity,,Indefinite affix,Obligatory pronouns in subject position,,Unrelated,Two-way contrast,,,In 3rd person + 1st and/or 2nd person,Semantic and formal,Three,Negative particle,Plural suffix,"First, two-th, three-th",,Adjective-Noun,Postpositions,Degree word-Adjective,Demonstrative-Noun,Genitive-Noun,VNeg,Numeral-Noun,XOV,Relative clause-Noun,Present,Distinct from reflexive,Inflectional optative absent,Normal imperative + special negative,No second-person imperatives,No person marking,Initial interrogative phrase,Second position,Two classes,,Dependent marking,Productive full and partial reduplication,No inflectional future,"Present, 2-3 remoteness distinctions",Grammatical marking,Only the P argument,SOV
Ngiyambaa,wang1291,Pama-Nyungan,world,-31.75,145.5,Ergative - absolutive,Nominative - accusative (standard),Differentiation,,,No definite or indefinite article,No definite or indefinite article,Subject clitics on variable host,Interrogative-based,Related for all demonstratives,Two-way contrast,Identical,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural suffix,None,,No dominant order,No adpositions,,Demonstrative-Noun,Genitive-Noun,NegV,,No dominant order,Mixed,Absent,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second person number-neutral,No adpositions,Initial interrogative phrase,Second position,Two classes,No possessive affixes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,
Paraguayan Guaran<ed>,para1311,Tupi-Guaran<ed>,world,-26,-56,Nominative - accusative (standard),Nominative - accusative (standard),Differentiation,And different from 'with',Identity,Definite word distinct from demonstrative,"No indefinite, but definite article",Subject affixes on verb,Mixed,Unrelated,Three-way contrast,Different stem,,No gender distinctions,No gender,None,Double negation,Plural word,"First/one-th, two-th, three-th",,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,ObligDoubleNeg,Numeral-Noun,VOX,,Absent,Distinct from reflexive,Inflectional optative present,Special imperative + special negative,Second singular,Pronouns only,Not initial interrogative phrase,,No possessive classification,Possessive prefixes,Head marking,,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Both the A and P arguments,SVO
Paumari,paum1247,Arawan,world,-6,-64,Ergative - absolutive,Nominative - accusative (standard),,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related for all demonstratives,Three-way contrast,Identical,Differentiated,3rd person singular only,Semantic,Four,Variation between negative word and affix,No plural,,,Noun-Adjective,Postpositions,,Demonstrative-Noun,Genitive-Noun,Type 1 / Type 4,Noun-Numeral,No dominant order,Noun-Relative clause,Present,,Inflectional optative absent,Normal imperative + special negative,Second singular and second plural,No person marking,Initial interrogative phrase,No question particle,Two classes,Prefixes and suffixes,Head marking,Productive full and partial reduplication,,,,Only the A argument,SVO
Pirah<e3>,pira1253,Pirah<e3>,world,-7,-62,Neutral,Neutral,Differentiation,,Identity,No definite or indefinite article,No definite or indefinite article,,Mixed,Related to remote demonstratives,Two-way contrast,Identical,Differentiated,"3rd person only, but also non-singular",Semantic,Four,Negative affix,No plural,,,Noun-Adjective,Postpositions,,Noun-Demonstrative,Genitive-Noun,[V-Neg],Noun-Numeral,XOV,,Absent,No reciprocals,Inflectional optative absent,,No second-person imperatives,No person marking,Not initial interrogative phrase,Final,No possessive classification,,No marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SOV
Plateau Malagasy,plat1254,Malagasic,world,-20,47,Nominative - accusative (standard),Nominative - accusative (standard),,And different from 'with',,Definite word distinct from demonstrative,"No indefinite, but definite article",Obligatory pronouns in subject position,Generic-noun-based,,Five (or more)-way contrast,Identical,Identical,No gender distinctions,No gender,None,Negative particle,No plural,"First, two-th, three-th",Marked by following word,Noun-Adjective,Prepositions,,Demonstrative before and after Noun,Noun-Genitive,NegV,Noun-Numeral,VOX,Noun-Relative clause,Present,Distinct from reflexive,Inflectional optative absent,Special imperative + special negative,Second person number-neutral,Pronouns only,Initial interrogative phrase,In either of two positions,No possessive classification,No possessive affixes,Other,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,No person marking,VOS
Popti',popt1235,Greater Kanjobalan,world,15.66666667,-91.66666667,Neutral,Neutral,Differentiation,And identical to 'with',Differentiation,"No definite, but indefinite article",Indefinite word same as 'one',Mixed,Interrogative-based,Unrelated,Two-way contrast,,,No gender distinctions,,,Negative particle,Plural word,"First/one-th, two-th, three-th",,Adjective-Noun,Prepositions,Degree word-Adjective,Noun-Demonstrative,Noun-Genitive,NegV,Numeral-Noun,,Noun-Relative clause,Present,Identical to reflexive,Inflectional optative absent,Special imperative + normal negative,Second singular and second plural,Pronouns and nouns,Initial interrogative phrase,No question particle,No possessive classification,Possessive prefixes,Head marking,Productive full and partial reduplication,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,VSO
Rama,rama1270,Rama,world,11.75,-83.75,Neutral,Nominative - accusative (standard),,,,Definite word distinct from demonstrative,Indefinite word distinct from 'one',Subject affixes on verb,,Related for all demonstratives,Two-way contrast,,Differentiated,No gender distinctions,No gender,None,Negative particle,Plural clitic,,,Noun-Adjective,Postpositions,Adjective-Degree word,Demonstrative-Noun,Genitive-Noun,Type 1 / Type 4,Noun-Numeral,No dominant order,,Absent,No reciprocals,Inflectional optative absent,Special imperative + special negative,Second singular and second plural,Pronouns only,Not initial interrogative phrase,,Two classes,Possessive prefixes,Other,,Inflectional future exists,"Present, no remoteness distinctions",No grammatical marking,Only the A argument,SOV
